name	is_dir	size	date
biochar.zip	False	16.8 KiB	28-Sep-2025 14:43
cecdos.zip	False	77.3 KiB	28-Sep-2025 14:43
compcons.zip	False	51.0 KiB	28-Sep-2025 14:43
compfor.zip	False	24.6 KiB	28-Sep-2025 14:43
dos33.zip	False	73.6 KiB	28-Sep-2025 14:43
eccad.zip	False	122.3 KiB	28-Sep-2025 14:43
equityadv.zip	False	62.4 KiB	28-Sep-2025 14:43
flyingaxe.zip	False	109.0 KiB	28-Sep-2025 14:43
jackiechan.zip	False	55.5 KiB	28-Sep-2025 14:43
learn6502.zip	False	55.0 KiB	28-Sep-2025 14:43
musicbbrd.zip	False	35.9 KiB	28-Sep-2025 14:43
primlang.zip	False	89.5 KiB	28-Sep-2025 14:43
printcart.zip	False	44.3 KiB	28-Sep-2025 14:43
schtxted.zip	False	63.0 KiB	28-Sep-2025 14:43
sherlock.zip	False	148.2 KiB	28-Sep-2025 14:43
softcat.zip	False	18.9 KiB	28-Sep-2025 14:43
udbms.zip	False	26.6 KiB	28-Sep-2025 14:43
